<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.17	13:30:00	4851.487	4857.077	4848.093	4855.440	4059	0	360
2026.04.17	13:35:00	4855.381	4869.182	4855.178	4867.379	3171	0	360
2026.04.17	13:40:00	4867.321	4873.685	4862.871	4864.266	3872	0	360
2026.04.17	13:45:00	4864.563	4867.665	4851.851	4865.111	5136	0	360
2026.04.17	13:50:00	4864.925	4879.077	4862.491	4877.136	2491	0	280
2026.04.17	13:55:00	4877.049	4882.046	4874.888	4879.990	2539	0	360
2026.04.17	14:00:00	4880.053	4885.465	4875.083	4875.786	2720	0	360
2026.04.17	14:05:00	4875.860	4877.604	4868.614	4871.882	2204	0	280
2026.04.17	14:10:00	4872.165	4872.379	4860.627	4866.823	2414	0	280
2026.04.17	14:15:00	4867.187	4874.132	4867.034	4870.604	1899	0	280
2026.04.17	14:20:00	4870.456	4879.536	4865.400	4878.301	1913	0	280
2026.04.17	14:25:00	4878.360	4880.441	4871.052	4871.543	1638	0	280
2026.04.17	14:30:00	4871.603	4877.958	4869.408	4877.369	1522	0	280
2026.04.17	14:35:00	4877.430	4880.315	4871.107	4875.625	1545	0	280
2026.04.17	14:40:00	4875.719	4883.110	4874.464	4877.371	2188	0	308
2026.04.17	14:45:00	4877.435	4881.062	4873.750	4879.922	1600	0	308
2026.04.17	14:50:00	4879.823	4879.883	4869.700	4876.172	1657	0	280
2026.04.17	14:55:00	4876.231	4877.519	4872.405	4873.221	1502	0	280
2026.04.17	15:00:00	4873.288	4873.793	4862.343	4868.146	2620	0	280
2026.04.17	15:05:00	4868.268	4880.312	4867.773	4872.767	2118	0	280
2026.04.17	15:10:00	4872.701	4873.435	4865.686	4867.718	1669	0	280
2026.04.17	15:15:00	4867.821	4874.429	4863.581	4865.017	1935	0	308
2026.04.17	15:20:00	4865.050	4873.416	4863.050	4870.394	1646	0	308
2026.04.17	15:25:00	4870.336	4871.287	4865.177	4866.005	1526	0	280
2026.04.17	15:30:00	4866.075	4873.979	4864.648	4873.905	1556	0	280
2026.04.17	15:35:00	4873.649	4873.761	4868.221	4869.826	1161	0	280
2026.04.17	15:40:00	4869.860	4870.419	4854.700	4858.755	1937	0	280
2026.04.17	15:45:00	4858.912	4864.220	4857.890	4863.517	1676	0	280
2026.04.17	15:50:00	4863.444	4870.255	4863.267	4868.985	1225	0	280
2026.04.17	15:55:00	4868.926	4871.727	4866.685	4867.484	999	0	280
2026.04.17	16:00:00	4867.393	4870.567	4863.672	4867.094	1160	0	280
2026.04.17	16:05:00	4866.870	4873.356	4865.365	4871.274	1077	0	280
2026.04.17	16:10:00	4871.285	4873.344	4870.175	4871.295	824	0	280
2026.04.17	16:15:00	4871.353	4873.494	4869.894	4870.937	867	0	280
2026.04.17	16:20:00	4870.988	4873.047	4869.673	4870.475	766	0	280
2026.04.17	16:25:00	4870.294	4871.310	4867.340	4867.813	778	0	280
2026.04.17	16:30:00	4867.910	4871.757	4867.702	4871.442	878	0	280
2026.04.17	16:35:00	4871.230	4872.831	4870.042	4871.578	770	0	280
2026.04.17	16:40:00	4871.411	4872.367	4867.522	4868.431	659	0	280
2026.04.17	16:45:00	4868.504	4868.951	4865.248	4866.225	750	0	280
2026.04.17	16:50:00	4866.219	4867.696	4864.797	4866.406	634	0	280
