<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.29	10:00:00	3807.631	3818.491	3806.499	3817.856	10208	0	160
2025.09.29	11:00:00	3817.930	3831.366	3816.377	3828.934	12251	0	160
2025.09.29	12:00:00	3828.865	3830.420	3811.621	3813.800	22535	0	160
2025.09.29	13:00:00	3813.831	3828.026	3809.189	3821.404	26232	0	160
2025.09.29	14:00:00	3821.407	3830.496	3816.663	3828.108	21180	0	160
2025.09.29	15:00:00	3828.153	3833.220	3820.889	3830.351	16498	0	160
2025.09.29	16:00:00	3830.345	3833.585	3828.195	3830.274	8615	0	160
2025.09.29	17:00:00	3830.310	3832.848	3823.959	3828.918	10522	0	160
2025.09.29	18:00:00	3828.976	3830.691	3823.343	3824.581	9190	0	160
2025.09.29	19:00:00	3824.585	3829.750	3822.605	3828.754	8694	0	160
2025.09.29	20:00:00	3828.792	3834.000	3827.751	3833.974	5492	0	160
2025.09.29	22:00:00	3830.346	3833.099	3825.626	3830.688	4341	0	160
2025.09.29	23:00:00	3830.641	3833.376	3828.041	3832.835	4768	0	160
2025.09.30	00:00:00	3832.890	3840.605	3831.092	3838.946	12710	0	160
2025.09.30	01:00:00	3838.879	3850.661	3837.969	3847.940	16257	0	160
2025.09.30	02:00:00	3847.985	3852.052	3842.589	3848.006	12157	0	160
2025.09.30	03:00:00	3847.989	3867.180	3845.790	3864.772	10959	0	160
2025.09.30	04:00:00	3864.731	3867.107	3861.979	3867.088	7158	0	160
2025.09.30	05:00:00	3867.046	3870.416	3862.562	3869.700	11308	0	160
2025.09.30	06:00:00	3869.787	3871.700	3854.858	3855.720	15559	0	160
2025.09.30	07:00:00	3855.767	3859.344	3839.471	3843.811	19015	0	160
2025.09.30	08:00:00	3843.843	3847.172	3807.567	3816.341	34235	0	160
2025.09.30	09:00:00	3816.366	3821.543	3793.113	3798.783	29531	0	160
2025.09.30	10:00:00	3798.749	3814.577	3798.202	3812.125	14971	0	160
2025.09.30	11:00:00	3812.012	3817.833	3804.313	3815.189	14235	0	160
2025.09.30	12:00:00	3815.128	3821.623	3808.828	3819.400	19172	0	160
2025.09.30	13:00:00	3819.357	3829.967	3811.486	3824.163	24685	0	160
2025.09.30	14:00:00	3824.032	3854.543	3820.381	3854.076	29061	0	160
2025.09.30	15:00:00	3854.030	3854.255	3831.177	3839.035	28791	0	160
2025.09.30	16:00:00	3839.001	3847.949	3837.779	3845.911	12646	0	160
2025.09.30	17:00:00	3845.950	3849.311	3842.655	3844.106	9726	0	160
